ticker,exchange_code,exchange_name_ko,name_ko,name_en,market_type_code
A,NYS,뉴욕,애질런트 테크놀로지스,AGILENT TECHNOLOGIES INC,2
AA,NYS,뉴욕,알코아,ALCOA CORPORATION,2
AADX,NYS,뉴욕,APPLIED AEROSPACE & DEFENSE INC,APPLIED AEROSPACE & DEFENSE INC,2
AAMI,NYS,뉴욕,아카디언 에셋 매니지먼트,ACADIAN ASSET MANAGEMENT INC,2
AAP,NYS,뉴욕,어드밴스 오토 파츠,ADVANCE AUTO PARTS INC,2
AAT,NYS,뉴욕,아메리칸 에세츠 트러스트,AMERICAN ASSETS TRUST INC,2
AAUC,NYS,뉴욕,얼라이드 골드,ALLIED GOLD CORP,2
AB,NYS,뉴욕,얼라이언스번스틴 홀딩,ALLIANCEBERNSTEIN HOLDING LP,2
ABBV,NYS,뉴욕,애브비,ABBVIE INC,2
ABCB,NYS,뉴욕,아메리스 뱅코프,AMERIS BANCORP,2
ABEV,NYS,뉴욕,암베브(ADR),AMBEV SA SPON ADR EACH REP 1 ORD SHS,2
ABG,NYS,뉴욕,애즈버리 오토모티브 그룹,ASBURY AUTOMOTIVE GROUP INC,2
ABM,NYS,뉴욕,ABM 인더스트리스,ABM INDUSTRIES INC,2
ABR,NYS,뉴욕,아버 리얼티 트러스트,ARBOR REALTY TRUST INC,2
ABR/D,NYS,뉴욕,아버 리얼티 트러스트 우선주 D(6.375% 누적 상환),ARBOR REALTY TRUST INC 6.375% SERIES D CUMULATIVE RED PFD ST,2
ABR/E,NYS,뉴욕,아버 리얼티 트러스트 우선주 E(상환),ARBOR REALTY TRUST INC SER E CUM RED PFD SHS,2
ABR/F,NYS,뉴욕,아버 리얼티 트러스트 우선주 F(6.250% 누적),ARBOR REALTY TRUST INC 6.25% SER F FXD/FLTG RATE CUMULATIVE,2
ABT,NYS,뉴욕,애보트 래브러토리스,ABBOTT LABORATORIES,2
ABX,NYS,뉴욕,아바커스 글로벌 매니지먼트,ABACUS GLOBAL MANAGEMENT INC,2
ABXL,NYS,뉴욕,ABACUS 선순위채(2028-11-15 9.875%),ABACUS GLOBAL MANAGEMENT INC 9.875% SENIOR NOTES 15/11/2028,2
ACA,NYS,뉴욕,아코사,ARCOSA INC,2
ACCO,NYS,뉴욕,애코 브랜즈,ACCO BRANDS CORPORATION,2
ACEL,NYS,뉴욕,악셀 엔터테인먼트,ACCEL ENTERTAINMENT INC,2
ACH,NYS,뉴욕,액센드라 헬스,ACCENDRA HLTH INC,2
ACHR,NYS,뉴욕,아처 에비에이션,ARCHER AVIATION INC,2
ACI,NYS,뉴욕,앨버트슨 컴퍼니스,ALBERTSONS COMPANIES INC,2
ACLO,NYS,뉴욕,TCW AAA CLO,TCW AAA CLO ETF,3
ACM,NYS,뉴욕,애이콤 테크놀로지,AECOM,2
ACN,NYS,뉴욕,액센추어,ACCENTURE PLC,2
ACP,NYS,뉴욕,ABERDEEN INCOME CREDIT STRATEGIES,ABRDN INCOME CREDIT STRATEGIES FUND,3
ACP/A,NYS,뉴욕,ABERDEEN INCOME CREDIT STRATEGIES FUND PREFERRED A(5.250%),ABRDN INCOME CREDIT STRATEGIES FUND 5.250% CUM PERPETUAL PFD,2
ACR,NYS,뉴욕,에이커스 커머셜 리얼티,ACRES COMMERCIAL REALTY CORP,2
ACR/C,NYS,뉴욕,에이커스 커머셜 리얼티 우선주 C(8.625% 누적 상환),ACRES COMMERCIAL REALTY CORP 8.625% CUM RED FXD TO FLOATING,2
ACR/D,NYS,뉴욕,에이커스 커머셜 리얼티 우선주 D(7.875% 누적 상환),ACRES COMMERCIAL REALTY CORP 7.875% CUM RED PREF SER D,2
ACRE,NYS,뉴욕,아레스 커머셜 리얼 에스테이트,ARES COMMERCIAL REAL ESTATE,2
ACV,NYS,뉴욕,VIRTUS DIVERSIFIED INCOME & CONVERTIBLE,VIRTUS DIVERSIFIED INCOME & CONVERT,3
ACVA,NYS,뉴욕,ACV 옥션스,ACV AUCTIONS INC,2
AD,NYS,뉴욕,어레이 디지털 인프라스트럭처,ARRAY DIGITAL INFRASTRUCTURE I,2
ADC,NYS,뉴욕,어그리 리얼티,AGREE REALTY CORP,2
ADC/A,NYS,뉴욕,어그리 리얼티 우선주 A(4.250% 누적),AGREE REALTY CORP DEP SHS EA REP 1/1000 CUM PFD STK SR A,2
ADCT,NYS,뉴욕,ADC 테라퓨틱스,ADC THERAPEUTICS SA,2
ADM,NYS,뉴욕,아처 대니얼스 미들랜드,ARCHER-DANIELS-MIDLAND CO,2
ADNT,NYS,뉴욕,애디언트,ADIENT PLC,2
ADT,NYS,뉴욕,ADT,ADT INC,2
ADX,NYS,뉴욕,ADAMS DIVERSIFIED EQUITY,ADAMS DIVERSIFIED EQUITY FUND INC,3
AEE,NYS,뉴욕,애머런,AMEREN CORP,2
AEFC,NYS,뉴욕,아혼 펀딩 후순위채권(2049-12-15 5.100%),AEGON FUNDING COMPANY LLC 5.1% SUB NOTES DUE 15/12/2049 USD2,2
AEG,NYS,뉴욕,아혼(ADR),AEGON LIMITED AMER REGD CERT(1 SH EUR0.12),2
AEM,NYS,뉴욕,애그니코 이글 마인스,AGNICO EAGLE MINES LTD,2
AEO,NYS,뉴욕,아메리칸 이글,AMERICAN EAGLE OUTFITTERS INC,2
AER,NYS,뉴욕,에어캡 홀딩스,AERCAP HOLDINGS N.V.,2
AERO,NYS,뉴욕,그루포 아에로멕시코 스폰서드 ADS,GRUPO AEROMEXICO SAB DE CV SPONSORED ADS EACH REP 10 ORD SHS,2
AES,NYS,뉴욕,AES,AES CORP,2
AESI,NYS,뉴욕,아틀라스 에너지 솔루션스,ATLAS ENERGY SOLUTIONS INC,2
AEXA,NYS,뉴욕,아메리칸 익셉셔널리즘 애퀴지션 A,AMERICAN EXCEPTIONALISM ACQ CORP. A,2
AFB,NYS,뉴욕,ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME,ALLIANCEBERNSTEIN NATL MUNI INC FD,3
AFG,NYS,뉴욕,아메리칸 파이낸셜 그룹,AMERICAN FINANCIAL GROUP INC OHIO,2
AFGB,NYS,뉴욕,아메리칸 파이낸셜 그룹 후순위채권(2059-03-30 5.875%),AMERICAN FINANCIAL GROUP INC OHIO 5.875% SUBORD DEB DUE 30/0,2
AFGC,NYS,뉴욕,아메리칸 파이낸셜 그룹 후순위채권(2059-12-15 5.125%),AMERICAN FINANCIAL GROUP INC OHIO 5.125% SUBORD DEB DUE 15/1,2
AFGD,NYS,뉴욕,아메리칸 파이낸셜 그룹 후순위채권(2060-01-01 5.625%),AMERICAN FINANCIAL GROUP INC OHIO 5.625% SUBORDINATED DEB DU,2
AFGE,NYS,뉴욕,아메리칸 파이낸셜 그룹 후순위채권(2060-09-15 4.500%),AMERICAN FINANCIAL GROUP INC OHIO 4.500% SUBORD DEB DUE 15/0,2
AFL,NYS,뉴욕,애플랙,AFLAC INC,2
AG,NYS,뉴욕,퍼스트 머제스틱 실버,FIRST MAJESTIC SILVER CORP,2
AGBK,NYS,뉴욕,에이지아이,AGI INC,2
AGCO,NYS,뉴욕,애그코,AGCO CORP,2
AGD,NYS,뉴욕,ABERDEEN GLOBAL DYNAMIC DIVIDEND,ABRDN GLOBAL DYNAMIC DIVIDEND FUND,3
AGI,NYS,뉴욕,알라모스 골드,ALAMOS GOLD INC,2
AGL,NYS,뉴욕,애질론 헬스,AGILON HEALTH INC,2
AGM,NYS,뉴욕,페더럴 애그리컬처럴 모기지,FEDERAL AGRICULTURAL MORTGAGE CORP,2
AGM/A,NYS,뉴욕,페더럴 애그리컬처럴 모기지 A,FEDERAL AGRICULTURAL MORTGAGE CORP,2
AGM/D,NYS,뉴욕,페더럴 애그리컬처럴 모기지 우선주 D(5.700%),FEDERAL AGRICULTURAL MORTGAGE CORP 5.7% NON CUMULATIVE PREFE,2
AGM/E,NYS,뉴욕,페더럴 애그리컬처럴 모기지 우선주 E(5.700%),FEDERAL AGRICULTURAL MORTGAGE CORP 5.7% NON CUMULATIVE PREFE,2
AGM/F,NYS,뉴욕,페더럴 애그리컬처럴 모기지 우선주 F(5.250%),FEDERAL AGRICULTURAL MORTGAGE CORP 5.250% NON CUM PREF STOCK,2
AGM/G,NYS,뉴욕,페더럴 애그리컬처럴 모기지 우선주 G(4.875%),FEDERAL AGRICULTURAL MORTGAGE CORP 4.875% NON CUMULATIVE PRE,2
AGM/H,NYS,뉴욕,FEDERAL AGRICULTURAL MORTGAGE CORP NON-CUMULATIVE PFD SER H,FEDERAL AGRICULTURAL MORTGAGE CORP NON-CUMULATIVE PFD SER H,2
AGM/I,NYS,뉴욕,FEDERAL AGRICULTURAL MORTGAGE CORP 6.875 NON CUMULATIVE PREF,FEDERAL AGRICULTURAL MORTGAGE CORP 6.875 NON CUMULATIVE PREF,2
AGO,NYS,뉴욕,어슈어드 개런티,ASSURED GUARANTY LTD,2
AGRO,NYS,뉴욕,아데코아그로,ADECOAGRO S A,2
AGX,NYS,뉴욕,아간,ARGAN INC,2
AHL/D,NYS,뉴욕,아스펀 인슈어런스 홀딩스 우선주 D(5.625%),ASPEN INSURANCE HLDGS 5.625%NON CUM PERP PFD SHS USD25,2
AHL/E,NYS,뉴욕,아스펀 인슈어런스 홀딩스 우선주 E(5.625%),ASPEN INSURANCE HLDGS 5.625 DEP SHS REP 1/1000TH PFD SHS,2
AHL/F,NYS,뉴욕,애스펀 인슈어런스 홀딩스 우선주 F(7.000%),ASPEN INSURANCE HLDGS 7 DEP SHS EA REP 1/1000TH INT PFD,2
AHR,NYS,뉴욕,아메리칸 헬스케어 리츠,AMERICAN HEALTHCARE REIT INC,2
AHRT,NYS,뉴욕,AH 리얼티 트러스트,AH REALTY TRUST INC,2
AHRT/A,NYS,뉴욕,AH 리얼티 트러스트 6.75% 누적 상환 영구 우선주 A,AH REALTY TRUST INC 6.75% CUM RED PERP PREF STOCK SERIES A,2
AHT,NYS,뉴욕,애시포드 호스피털리티 트러스트,ASHFORD HOSPITALITY TRUST INC,2
AHT/D,NYS,뉴욕,애시포드 호스피털리티 트러스트 우선주 D(8.450% 누적),ASHFORD HOSPITALITY TRUST INC 8.45% CUM PRF STK SER D  USD25,2
AHT/F,NYS,뉴욕,애시포드 호스피털리티 트러스트 우선주 F(7.375% 누적),ASHFORD HOSPITALITY TRUST INC 7.375% PFD CUM SER F USD25,2
AHT/G,NYS,뉴욕,애시포드 호스피털리티 트러스트 우선주 G(누적),ASHFORD HOSPITALITY TRUST INC CUM PFD SER G,2
