ticker,exchange_code,finnhub_symbol,asset_type,name_en
A,NYSE,A,STOCK,"Agilent Technologies, Inc. Common Stock"
AA,NYSE,AA,STOCK,Alcoa Corporation Common Stock
AAA,NYSE_ARCA,AAA,ETF,Alternative Access First Priority CLO Bond ETF
AAAA,BATS,AAAA,ETF,Amplius Aggressive Asset Allocation ETF
AAAC,NYSE_ARCA,AAAC,ETF,Columbia AAA CLO ETF
AAAD,NYSE_ARCA,AAAD,ETF,PGIM AAA CLO Aggregate Duration ETF
AAAU,BATS,AAAU,ETF,Goldman Sachs Physical Gold ETF Shares
AACB,NASDAQ,AACB,STOCK,Artius II Acquisition Inc. - Class A Ordinary Shares
AACG,NASDAQ,AACG,STOCK,"ATA Creativity Global - American Depositary Shares, each representing two common shares"
AACI,NASDAQ,AACI,STOCK,Armada Acquisition Corp. III - Class A Ordinary Share
AACO,NASDAQ,AACO,STOCK,Abony Acquisition Corp. I - Class A Ordinary Share
AACP,NASDAQ,AACP,STOCK,Apogee Acquisition Corp - Class A Ordinary Shares
AADR,NASDAQ,AADR,ETF,AdvisorShares Dorsey Wright ADR ETF
AADX,NYSE,AADX,STOCK,"Applied Aerospace & Defense, Inc. Common Stock"
AAEQ,NASDAQ,AAEQ,ETF,Alpha Architect US Equity 2 ETF
AAL,NASDAQ,AAL,STOCK,"American Airlines Group, Inc. - Common Stock"
AALG,NASDAQ,AALG,ETF,Leverage Shares 2X Long AAL Daily ETF
AAME,NASDAQ,AAME,STOCK,Atlantic American Corporation - Common Stock
AAMI,NYSE,AAMI,STOCK,Acadian Asset Management Inc. Common Stock
AAOG,BATS,AAOG,ETF,Leverage Shares 2X Long AAOI Daily ETF
AAOI,NASDAQ,AAOI,STOCK,"Applied Optoelectronics, Inc. - Common Stock"
AAON,NASDAQ,AAON,STOCK,"AAON, Inc. - Common Stock"
AAOX,BATS,AAOX,ETF,Tradr 2X Long AAOI Daily ETF
AAP,NYSE,AAP,STOCK,Advance Auto Parts Inc.
AAPB,NASDAQ,AAPB,ETF,GraniteShares 2x Long AAPL Daily ETF
AAPD,NASDAQ,AAPD,ETF,Direxion Daily AAPL Bear 1X ETF
AAPG,NASDAQ,AAPG,STOCK,Ascentage Pharma Group International - American Depository Shares
AAPL,NASDAQ,AAPL,STOCK,Apple Inc. - Common Stock
AAPR,BATS,AAPR,ETF,Innovator Equity Defined Protection ETF - 2 Yr to April 2028
AAPU,NASDAQ,AAPU,ETF,Direxion Daily AAPL Bull 2X ETF
AAPW,BATS,AAPW,ETF,Roundhill AAPL WeeklyPay ETF
AAPX,BATS,AAPX,ETF,T-Rex 2X Long Apple Daily Target ETF
AAPY,BATS,AAPY,ETF,Kurv Yield Premium Strategy Apple (AAPL) ETF
AARD,NASDAQ,AARD,STOCK,"Aardvark Therapeutics, Inc. - Common Stock"
AAT,NYSE,AAT,STOCK,"American Assets Trust, Inc. Common Stock"
AAUA,BATS,AAUA,ETF,Alpha Architect US Equity 3 ETF
AAUC,NYSE,AAUC,STOCK,Allied Gold Corporation Common Shares
AAUM,BATS,AAUM,ETF,Tema Alternative Asset Managers ETF
AAUS,NASDAQ,AAUS,ETF,Alpha Architect US Equity ETF
AAVM,NASDAQ,AAVM,ETF,Alpha Architect Global Factor Equity ETF
AAXJ,NASDAQ,AAXJ,ETF,iShares MSCI All Country Asia ex Japan ETF
ABAT,NASDAQ,ABAT,STOCK,American Battery Technology Company - Common Stock
ABBV,NYSE,ABBV,STOCK,AbbVie Inc. Common Stock
ABCB,NYSE,ABCB,STOCK,Ameris Bancorp Common Stock
ABCL,NASDAQ,ABCL,STOCK,AbCellera Biologics Inc. - Common Shares
ABCS,NASDAQ,ABCS,ETF,Alpha Blue Capital US Small-Mid Cap Dynamic ETF
ABEO,NASDAQ,ABEO,STOCK,Abeona Therapeutics Inc. - Common Stock
ABEQ,NYSE_ARCA,ABEQ,ETF,Absolute Select Value ETF
ABEV,NYSE,ABEV,STOCK,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
ABFL,BATS,ABFL,ETF,Abacus FCF Leaders ETF
ABG,NYSE,ABG,STOCK,Asbury Automotive Group Inc Common Stock
ABI,NASDAQ,ABI,ETF,VictoryShares Pioneer Asset-Based Income ETF
ABIG,NASDAQ,ABIG,ETF,Argent Large Cap ETF
ABLD,BATS,ABLD,ETF,Abacus FCF Real Assets Leaders ETF
ABLG,BATS,ABLG,ETF,Abacus FCF International Leaders ETF
ABLS,BATS,ABLS,ETF,Abacus FCF Small Cap Leaders ETF
ABLV,NASDAQ,ABLV,STOCK,Able View Global Inc. - Class B Ordinary Shares
