"ticker","exchange_code","finnhub_symbol","asset_type","name_en"
"A","NYSE","A","STOCK","Agilent Technologies, Inc. Common Stock"
"AA","NYSE","AA","STOCK","Alcoa Corporation Common Stock"
"AAA","NYSE_ARCA","AAA","ETF","Alternative Access First Priority CLO Bond ETF"
"AAAA","BATS","AAAA","ETF","Amplius Aggressive Asset Allocation ETF"
"AAAC","NYSE_ARCA","AAAC","ETF","Columbia AAA CLO ETF"
"AAAD","NYSE_ARCA","AAAD","ETF","PGIM AAA CLO Aggregate Duration ETF"
"AAAU","BATS","AAAU","ETF","Goldman Sachs Physical Gold ETF Shares"
"AACB","NASDAQ","AACB","STOCK","Artius II Acquisition Inc. - Class A Ordinary Shares"
"AACG","NASDAQ","AACG","STOCK","ATA Creativity Global - American Depositary Shares, each representing two common shares"
"AACI","NASDAQ","AACI","STOCK","Armada Acquisition Corp. III - Class A Ordinary Share"
"AACO","NASDAQ","AACO","STOCK","Abony Acquisition Corp. I - Class A Ordinary Share"
"AACP","NASDAQ","AACP","STOCK","Apogee Acquisition Corp - Class A Ordinary Shares"
"AADR","NASDAQ","AADR","ETF","AdvisorShares Dorsey Wright ADR ETF"
"AADX","NYSE","AADX","STOCK","Applied Aerospace & Defense, Inc. Common Stock"
"AAEQ","NASDAQ","AAEQ","ETF","Alpha Architect US Equity 2 ETF"
"AAL","NASDAQ","AAL","STOCK","American Airlines Group, Inc. - Common Stock"
"AALG","NASDAQ","AALG","ETF","Leverage Shares 2X Long AAL Daily ETF"
"AAME","NASDAQ","AAME","STOCK","Atlantic American Corporation - Common Stock"
"AAMI","NYSE","AAMI","STOCK","Acadian Asset Management Inc. Common Stock"
"AAOG","BATS","AAOG","ETF","Leverage Shares 2X Long AAOI Daily ETF"
